"time","GEO_ID","NAME","SVY_COMP","SVY_COMP_LABEL","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT",
"Year","Geographic identifier code","Geographic Area Name","Survey Component","Meaning of Survey Component","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount",
"2015","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","872320",
"2016","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","880678",
"2017","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","885492",
"2018","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","889510",
"2019","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","889886",
"2020","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","891187",
"2021","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","856446",
"2022","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","856067",
"2012","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","226032",
"2013","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","247069",
"2014","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","246448",
"2015","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","266535",
"2016","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","282665",
"2017","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","289581",
"2018","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","312046",
"2019","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","335196",
"2020","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","350390",
"2021","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","378051",
"2022","0400000US08","Colorado","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","417968",
"2012","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3590",
"2013","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3599",
"2014","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3597",
"2015","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3585",
"2016","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3588",
"2017","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3573",
"2018","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3572",
"2019","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3570",
"2020","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3600",
"2021","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3623",
"2022","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1901","State population (in thousands)","001","State and Local","3609",
"2012","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","522451",
"2013","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","517812",
"2014","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","511082",
"2015","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","505366",
"2016","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","499494",
"2017","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","496074",
"2018","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","491590",
"2019","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","486809",
"2020","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","483151",
"2021","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","468502",
"2022","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1903","Fall enrollment","001","State and Local","468926",
"2012","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","207162",
"2013","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","218132",
"2014","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","223561",
"2015","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","239829",
"2016","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","244941",
"2017","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","249581",
"2018","0400000US09","Connecticut","06","Annual Survey of School System Finance","SS1905","Personal income (prior calendar year, in million dollars)","001","State and Local","256349",
